date;heure;fuseau;compte;type;legende;medias;lien;commentaire;campagne
2026-09-09;12:30;Europe/Paris;Mon Artifice (facebook);carousel;"Les quatre questions qui reviennent le plus — et les réponses courtes.

⏱️ « Ça dure combien de temps ? »
Moins que vous ne croyez, et c'est normal. Un feu de 2 minutes bien construit marque davantage qu'un feu de 5 minutes qui s'étire. La densité compte plus que la durée : c'est le rythme qu'on retient, pas le chronomètre.

📋 « Est-ce que j'ai le droit ? »
Ça dépend de trois choses : la catégorie du produit, le lieu, et la taille de l'événement. Dans le doute, appelez votre mairie — c'est gratuit et ça prend cinq minutes.

📏 « Il faut combien de recul ? »
Ça se joue en mètres, pas au feeling, et c'est indiqué sur chaque produit. On y consacre une publication détaillée dans quelques jours.

🌦️ « Et s'il pleut ? »
La pluie n'est pas le vrai sujet — le vent, si. On vous explique pourquoi à la fin du mois.

Et vous, c'est quoi votre question ? Posez-la en commentaire : on répond à tout le monde, gratuitement et sans engagement.

#artificier #feudartifice #MonArtifice";2026-09-09-communaute-questions-frequentes-01.jpg,2026-09-09-communaute-questions-frequentes-02.jpg,2026-09-09-communaute-questions-frequentes-03.jpg,2026-09-09-communaute-questions-frequentes-04.jpg,2026-09-09-communaute-questions-frequentes-05.jpg,2026-09-09-communaute-questions-frequentes-06.jpg;;;Mon Artifice — Septembre 2026
2026-09-09;12:30;Europe/Paris;Mon Artifice (instagram);carousel;"Les quatre questions qui reviennent le plus, et les réponses courtes.

« Ça dure combien de temps ? »
Moins que vous ne croyez, et c'est normal. Un feu de 2 minutes bien construit marque plus qu'un feu de 5 minutes qui traîne. La densité compte plus que la durée.

« Est-ce que j'ai le droit ? »
Ça dépend de la catégorie, du lieu et de la taille de l'événement. Dans le doute : votre mairie, c'est gratuit et ça prend cinq minutes.

« Il faut combien de recul ? »
Ça se joue en mètres, pas au feeling. C'est écrit sur chaque produit. On en reparle en détail très bientôt.

« Et s'il pleut ? »
La pluie n'est pas le vrai sujet. Le vent, si. On y consacre une publication à la fin du mois.

Votre question, c'est laquelle ? Posez-la en commentaire, on répond à tout le monde 👇

#MonArtifice #artificier #feudartifice #pyrotechnie #questionsreponses #conseils #feuxdartifice #reglementation #securite #evenement #mariage #artificierprofessionnel #france #savoirfaire";2026-09-09-communaute-questions-frequentes-01.jpg,2026-09-09-communaute-questions-frequentes-02.jpg,2026-09-09-communaute-questions-frequentes-03.jpg,2026-09-09-communaute-questions-frequentes-04.jpg,2026-09-09-communaute-questions-frequentes-05.jpg,2026-09-09-communaute-questions-frequentes-06.jpg;;;Mon Artifice — Septembre 2026
2026-09-13;11:00;Europe/Paris;Mon Artifice (facebook);carousel;"Trois heures de travail pour trois minutes de spectacle.

C'est le rapport réel, et il ne choque personne dans notre métier.

Le méchage consiste à relier chaque départ dans le bon ordre et au bon intervalle. C'est très précisément là que se décide le rythme du feu : ce qui part ensemble, ce qui part juste après, ce qui compose le final.

Un feu d'artifice réussi ne se joue pas au moment de la mise à feu. Il se joue bien avant, à genoux dans l'herbe, quand il n'y a encore personne sur place.

Nous sommes artificiers de métier. Ce compte, c'est aussi l'occasion de vous montrer ce qu'il y a derrière. 🎆

#artificier #feudartifice #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-13;11:00;Europe/Paris;Mon Artifice (instagram);carousel;"Trois heures. C'est le temps qu'il faut pour mécher un dispositif que vous regarderez trois minutes.

Le méchage, c'est relier chaque départ dans le bon ordre, au bon intervalle. C'est là que se décide le rythme du feu : ce qui part ensemble, ce qui part après, ce qui fait le final.

Un feu d'artifice réussi ne se joue pas au moment du tir. Il se joue là, à genoux, plusieurs heures avant, quand il n'y a encore personne.

On est artificiers. C'est notre métier, pas notre passe-temps.

#MonArtifice #artificier #mechage #coulisses #feudartifice #pyrotechnie #savoirfaire #metierdepassion #feuxdartifice #artificierprofessionnel #envers du décor #france #expertise";;;;Mon Artifice — Septembre 2026
2026-09-14;19:00;Europe/Paris;Mon Artifice (facebook);carousel;"8 mètres ou 25 mètres ? La différence n'est pas un détail.

Sur notre catalogue, la règle est simple :

📏 Un produit de catégorie F2 demande 8 mètres de distance de sécurité.
📏 Un produit de catégorie F3 en demande 25 mètres.

Trois fois plus. Et beaucoup de gens le découvrent le jour J, une fois le produit acheté et le terrain déjà trop petit.

Trois choses à savoir en complément :

🧭 La distance se mesure dans toutes les directions, pas uniquement face au public.
🌬️ Elle ne suffit pas à elle seule : le vent, les arbres, les fils électriques et les toitures comptent autant.
📋 La notice du produit fait foi. Toujours, sans exception.

Notre conseil : avant même de regarder la durée ou le nombre de coups, mesurez votre terrain. C'est le premier critère de choix, et de loin.

#securite #feudartifice #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-14;19:00;Europe/Paris;Mon Artifice (instagram);carousel;"8 mètres ou 25 mètres. La différence n'est pas un détail.

Sur notre catalogue, c'est très simple :
→ Un produit F2 demande 8 mètres de distance de sécurité
→ Un produit F3 en demande 25 mètres

Trois fois plus. Et beaucoup de gens découvrent ça le jour J, une fois le produit acheté.

Ce qu'il faut savoir en plus :

→ Elle se mesure dans toutes les directions, pas seulement face au public
→ Elle ne suffit pas à elle seule : regardez le vent, les arbres, les fils électriques, les toitures
→ La notice du produit fait foi. Toujours.

Avant d'acheter, mesurez votre terrain. C'est le vrai critère de choix, avant la durée et avant le nombre de coups.

Enregistrez 🔖

#MonArtifice #securite #feudartifice #pyrotechnie #conseilexpert #reglementation #artificier #bonasavoir #evenementiel #prevention #feuxdartifice #france #distancedesecurite";;;;Mon Artifice — Septembre 2026
2026-09-16;12:30;Europe/Paris;Mon Artifice (facebook);carousel;"Un inflammateur, c'est ce qui remplace la mèche quand on veut de la précision.

Le principe est simple à décrire, beaucoup plus long à mettre en œuvre : chaque départ reçoit son propre allumeur électrique. Chaque allumeur part sur un fil. Et chaque fil porte un numéro qui correspond à une ligne sur le tableau de tir.

Pourquoi faire ça plutôt que de mécher ? Parce qu'on ne dépend plus de la vitesse à laquelle une mèche brûle. On décide à la milliseconde près. C'est exactement ce qui permet de synchroniser un feu d'artifice sur une bande musicale.

C'est nettement plus long à monter. Mais c'est ce qui sépare un feu qui part d'un feu qui raconte quelque chose. 🎆

#artificier #pyrotechnie #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-16;12:30;Europe/Paris;Mon Artifice (instagram);carousel;"Un inflammateur, c'est ce qui remplace la mèche quand on veut de la précision.

Concrètement : chaque départ reçoit son propre allumeur électrique. Chaque allumeur part sur un fil. Chaque fil a un numéro sur le tableau de tir.

Pourquoi c'est mieux ? Parce qu'on ne dépend plus d'une mèche qui brûle à sa vitesse. On décide à la milliseconde. C'est ce qui permet de synchroniser un feu sur une musique.

C'est plus long à monter. Beaucoup plus long. Mais c'est ce qui sépare un feu qui part, d'un feu qui raconte quelque chose.

#MonArtifice #artificier #inflammateur #pyrotechnie #coulisses #feudartifice #miseafeu #savoirfaire #technique #feuxdartifice #artificierprofessionnel #france";;;;Mon Artifice — Septembre 2026
2026-09-21;19:00;Europe/Paris;Mon Artifice (facebook);carousel;"F2, F3 : ces lettres sur les boîtes, ce n'est pas du marketing.

C'est ce qui détermine où vous pourrez tirer votre feu. Et c'est la toute première chose à regarder — avant la durée, avant le nombre de coups, avant le prix.

🟢 F2 → 8 mètres de distance de sécurité. Ça passe dans la majorité des jardins.

🔴 F3 → 25 mètres. Il vous faut un vrai terrain dégagé. C'est plus puissant, ça monte plus haut, c'est plus impressionnant — mais totalement inutilisable si vous n'avez pas la place.

L'erreur qu'on voit le plus souvent : choisir un F3 pour la puissance, et découvrir le jour J qu'on ne peut pas le tirer en sécurité.

Le bon ordre est celui-ci : je mesure mon terrain → j'en déduis ma catégorie → je choisis ma durée.

Pour les règles précises applicables à votre situation, référez-vous à la notice du produit et à la réglementation en vigueur. En cas de doute, écrivez-nous. 🔖

#feudartifice #reglementation #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-21;19:00;Europe/Paris;Mon Artifice (instagram);carousel;"F2, F3 : ces lettres sur les boîtes, ce n'est pas du marketing.

C'est ce qui détermine où vous pourrez tirer. Et c'est la première chose à regarder — avant la durée, avant le nombre de coups.

F2 → 8 mètres de distance de sécurité. Ça passe dans la majorité des jardins.

F3 → 25 mètres. Il vous faut un vrai terrain dégagé. Plus puissant, plus haut, plus impressionnant — mais inutilisable si vous n'avez pas la place.

L'erreur classique : choisir un F3 pour la puissance, et découvrir le jour J qu'on ne peut pas le tirer.

Le bon ordre : je mesure mon terrain → j'en déduis ma catégorie → je choisis ma durée.

Enregistrez ce post 🔖

#MonArtifice #feudartifice #reglementation #securite #pyrotechnie #conseilexpert #bonasavoir #artificier #categorief2 #categorief3 #feuxdartifice #france #prevention";;;;Mon Artifice — Septembre 2026
2026-09-23;12:30;Europe/Paris;Mon Artifice (facebook);carousel;"Voilà d'où part vraiment un feu d'artifice.

Chaque ligne numérotée du tableau correspond à un départ. On appuie dans un ordre écrit à l'avance, à des intervalles décidés à la seconde près.

Ce n'est pas de l'improvisation. C'est une partition, et elle se prépare bien avant le jour du tir.

Le détail que personne ne devine jamais : la clé de sécurité. Tant qu'elle n'est pas tournée, rien ne peut partir — même en appuyant sur tous les boutons. C'est la dernière barrière, et elle ne se tourne qu'une fois que tout le monde est en place et que la zone de tir est totalement vide.

Notre métier tient beaucoup plus de la rigueur que du spectacle. 🎆

#artificier #securite #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-23;12:30;Europe/Paris;Mon Artifice (instagram);carousel;"Voilà d'où part vraiment un feu d'artifice.

Chaque ligne numérotée correspond à un départ. On appuie dans un ordre écrit à l'avance, à des intervalles décidés à la seconde.

Ce n'est pas de l'improvisation. C'est une partition.

Le détail que les gens ne devinent jamais : la clé de sécurité. Tant qu'elle n'est pas tournée, rien ne peut partir. Même en appuyant sur tout. C'est la dernière barrière, et elle ne se tourne qu'une fois que tout le monde est en place et que la zone est vide.

Notre métier tient beaucoup plus de la rigueur que du spectacle.

#MonArtifice #artificier #tableaudetir #miseafeu #coulisses #feudartifice #pyrotechnie #securite #savoirfaire #feuxdartifice #artificierprofessionnel #france";;;;Mon Artifice — Septembre 2026
2026-09-25;18:30;Europe/Paris;Mon Artifice (facebook);photo;"Les mariages de septembre ont quelque chose que les autres n'ont pas.

La nuit tombe plus tôt. La lumière de fin de journée est plus douce. Et surtout : le feu d'artifice n'a plus besoin d'attendre 23 h pour être vraiment beau.

Pour un feu de mariage, c'est un vrai avantage. Vos invités sont encore tous présents, les enfants ne dorment pas encore, et les photos sont nettement meilleures.

Le bon moment, en règle générale, c'est juste après le dessert — pas à la fin de la soirée quand la moitié des gens sont partis.

Vous vous mariez cette année ou l'an prochain ? Écrivez-nous, on vous aide à caler ça. 🥂

#mariage #feudartifice #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-25;18:30;Europe/Paris;Mon Artifice (instagram);photo;"Les mariages de septembre ont quelque chose que les autres n'ont pas.

La nuit tombe plus tôt.
La lumière est plus douce.
Et le feu d'artifice n'a plus besoin d'attendre 23 h pour être vraiment beau.

Pour un feu de mariage c'est un vrai avantage : vos invités sont encore tous là, les enfants ne dorment pas encore, et la photo est bien meilleure.

Vous vous mariez cette année ou l'an prochain ? Écrivez-nous, on vous aide à caler le moment 💬

#MonArtifice #mariage #mariagedautomne #feudartificemariage #futuremariee #jemarie #mariage2027 #inspirationmariage #weddingfrance #mariagefrance #artificier #feudartifice #ouverturedebal #decomariage";;;;Mon Artifice — Septembre 2026
2026-09-27;11:00;Europe/Paris;Mon Artifice (facebook);photo;"On a une demande à vous faire.

Vous avez tiré un feu d'artifice cet été ? Envoyez-nous votre vidéo, en message privé ou en nous identifiant dans votre publication.

On republiera les plus belles — avec votre accord, évidemment, et toujours en vous créditant.

Pourquoi ? Parce qu'une vidéo tournée par vous, dans un vrai jardin, un vrai soir de fête, avec les vrais cris des invités, vaut mille fois mieux que n'importe quelle image de catalogue.

C'est votre feu, votre moment. Montrez-le nous. 🎆

#feudartifice #MonArtifice #communaute";;;;Mon Artifice — Septembre 2026
2026-09-27;11:00;Europe/Paris;Mon Artifice (instagram);photo;"On a une demande.

Vous avez tiré un feu d'artifice cet été ? Envoyez-nous la vidéo.

En message privé, ou en nous identifiant. On republie les plus belles — avec votre accord, évidemment, et toujours en vous créditant.

Pourquoi : parce qu'une vidéo tournée par vous, dans un vrai jardin, un vrai soir de fête, avec les vrais cris des invités, vaut mille fois mieux que n'importe quelle image de catalogue.

C'est votre feu. Montrez-le 🎆

#MonArtifice #feudartifice #vosvideos #communaute #feuxdartifice #artificier #partagez #souvenirs #ete2026 #evenementiel #france #merci";;;;Mon Artifice — Septembre 2026
2026-09-28;19:00;Europe/Paris;Mon Artifice (facebook);carousel;"« Et s'il pleut le jour J ? »

La question revient à chaque fois — et la réponse surprend souvent.

🌧️ La pluie n'est pas le pire ennemi. Une pluie fine est généralement gérable, à condition que le produit ait été stocké au sec et reste protégé jusqu'au moment du tir.

🌬️ Le vent est le vrai facteur limitant. C'est lui qui décide si le feu part ou non, bien plus que la pluie.

⛈️ L'orage : on ne tire pas. Jamais. On reporte, sans discussion.

Le bon réflexe dès la commande : stocker au sec, à plat et à l'abri, et avoir une date de repli en tête dès le départ.

Un feu d'artifice, ça se reporte très bien. Ça ne s'improvise pas. 🔖

#feudartifice #securite #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-28;19:00;Europe/Paris;Mon Artifice (instagram);carousel;"« Et s'il pleut le jour J ? »

La question revient tout le temps, et la réponse surprend souvent.

→ La pluie n'est pas le pire ennemi. Une pluie fine est généralement gérable si le produit a été stocké au sec et reste protégé jusqu'au tir.

→ Le vent est le vrai facteur limitant. C'est lui qui décide, pas la pluie.

→ L'orage : on ne tire pas. Jamais. On reporte.

Le bon réflexe dès la commande : stocker au sec, à plat, à l'abri — et avoir une date de repli en tête.

Un feu d'artifice, ça se reporte très bien. Ça ne s'improvise pas.

Enregistrez 🔖

#MonArtifice #feudartifice #securite #meteo #conseilexpert #pyrotechnie #bonasavoir #artificier #organisationevenement #prevention #feuxdartifice #france";;;;Mon Artifice — Septembre 2026
2026-09-30;12:30;Europe/Paris;Mon Artifice (facebook);carousel;"Le feu est fini. Les invités sont partis. Nous, on est encore là.

Contrôle du dispositif. Attente réglementaire avant toute manipulation. Puis ramassage de chaque reliquat, un par un, à la lampe torche.

On repart toujours quand le terrain est plus propre qu'à notre arrivée. Ce n'est pas une posture commerciale : un reliquat oublié dans l'herbe, c'est un risque réel pour la personne qui tondra la semaine suivante.

C'est la partie du métier dont personne ne parle. C'est aussi celle qui en dit le plus long sur un artificier.

👉 En octobre, on passe à la suite : on commence à vous présenter la sélection, produit par produit, avec leurs vraies caractéristiques. 🎆

#artificier #feudartifice #MonArtifice";;;;Mon Artifice — Septembre 2026
2026-09-30;12:30;Europe/Paris;Mon Artifice (instagram);carousel;"Le feu est fini. Les invités sont partis. Nous, on est encore là.

Contrôle du dispositif. Attente réglementaire avant manipulation. Ramassage de chaque reliquat, un par un, à la lampe.

On repart toujours quand le terrain est plus propre qu'à notre arrivée. Ce n'est pas une posture : un reliquat oublié dans l'herbe, c'est un risque pour celui qui tondra la semaine suivante.

C'est la partie du métier dont personne ne parle, et c'est celle qui dit le plus de choses sur un artificier.

👉 En octobre, on passe à la suite : on commence à vous présenter la sélection, produit par produit.

#MonArtifice #artificier #coulisses #feudartifice #pyrotechnie #securite #savoirfaire #apreslefeu #feuxdartifice #artificierprofessionnel #responsabilite #france";;;;Mon Artifice — Septembre 2026
